Drug1,Drug1_ID,Drug2,Drug2_ID,Interaction
desloratadine,DB00967,erythromycin,DB00199,0
desloratadine,DB00967,ketoconazole,DB01026,0
erythromycin,DB00199,ketoconazole,DB01026,0
desloratadine,DB00967,azithromycin,DB00207,0
desloratadine,DB00967,fluoxetine,DB00472,0
desloratadine,DB00967,cimetidine,DB00501,0
azithromycin,DB00207,fluoxetine,DB00472,0
azithromycin,DB00207,cimetidine,DB00501,0
fluoxetine,DB00472,fluoxetine,DB00472,0
fluoxetine,DB00472,cimetidine,DB00501,0
desloratadine,DB00967,3-hydroxydesloratadine,N/A,0
desloratadine,DB00967,desloratadine,DB00967,0
3-hydroxydesloratadine,N/A,desloratadine,DB00967,0
desloratadine,DB00967,3-hydroxydesloratadine,N/A,0
enoxaparin,DB01225,eptifibatide,DB00063,0
amphotericin b,DB00681,potassium-depleting diuretics,N/A,0
amphotericin b,DB00681,benzothiadiazines,N/A,0
amphotericin b,DB00681,ethacrynic acid,N/A,0
amphotericin b,DB00681,furosemide,DB00695,0
potassium-depleting diuretics,N/A,benzothiadiazines,N/A,0
potassium-depleting diuretics,N/A,ethacrynic acid,N/A,0
potassium-depleting diuretics,N/A,furosemide,DB00695,0
benzothiadiazines,N/A,ethacrynic acid,N/A,0
benzothiadiazines,N/A,furosemide,DB00695,0
ethacrynic acid,N/A,furosemide,DB00695,0
digitalis glycosides,N/A,digitalis,N/A,0
antidiabetic drugs,N/A,insulin,N/A,0
salicylate,N/A,steroids,N/A,0
salicylate,N/A,aspirin,N/A,0
steroids,N/A,aspirin,N/A,1
barbiturates,N/A,phenytoin,DB00252,0
barbiturates,N/A,rifampin,N/A,0
barbiturates,N/A,fludrocortisone acetate,N/A,1
phenytoin,DB00252,rifampin,N/A,0
phenytoin,DB00252,fludrocortisone acetate,N/A,1
rifampin,N/A,fludrocortisone acetate,N/A,1
steroid,N/A,steroid,N/A,0
anabolic steroids,N/A,androgens,N/A,0
anabolic steroids,N/A,oxymetholone,DB06412,0
anabolic steroids,N/A,methandrostenolone,N/A,0
anabolic steroids,N/A,norethandrolone,DB12787,0
androgens,N/A,oxymetholone,DB06412,0
androgens,N/A,methandrostenolone,N/A,0
androgens,N/A,norethandrolone,DB12787,0
oxymetholone,DB06412,methandrostenolone,N/A,0
oxymetholone,DB06412,norethandrolone,DB12787,0
methandrostenolone,N/A,norethandrolone,DB12787,0
estrogen,N/A,corticosteroid,N/A,0
estrogen,N/A,estrogen,N/A,0
corticosteroid,N/A,estrogen,N/A,0
oxytocin,DB00107,oxytocics,N/A,0
oxytocin,DB00107,dinoprost,DB12789,1
oxytocics,N/A,dinoprost,DB12789,1
acetaminophen,DB00316,acetaminophen,DB00316,0
acetaminophen,DB00316,isoniazid,DB00951,0
acetaminophen,DB00316,isoniazid,DB00951,1
isoniazid,DB00951,acetaminophen,DB00316,1
carbamazepine,DB00564,isoniazid,DB00951,0
carbamazepine,DB00564,carbamazepine,DB00564,0
carbamazepine,DB00564,carbamazepine,DB00564,0
carbamazepine,DB00564,isoniazid,DB00951,1
carbamazepine,DB00564,anticonvulsant,N/A,0
isoniazid,DB00951,carbamazepine,DB00564,0
isoniazid,DB00951,carbamazepine,DB00564,0
isoniazid,DB00951,isoniazid,DB00951,0
isoniazid,DB00951,anticonvulsant,N/A,0
carbamazepine,DB00564,carbamazepine,DB00564,0
carbamazepine,DB00564,isoniazid,DB00951,0
carbamazepine,DB00564,carbamazepine,DB00564,0
carbamazepine,DB00564,anticonvulsant,N/A,0
isoniazid,DB00951,carbamazepine,DB00564,0
isoniazid,DB00951,anticonvulsant,N/A,0
ketoconazole,DB01026,ketoconazole,DB01026,0
ketoconazole,DB01026,isoniazid,DB00951,1
phenytoin,DB00252,isoniazid,DB00951,0
phenytoin,DB00252,phenytoin,DB00252,0
isoniazid,DB00951,phenytoin,DB00252,1
phenytoin,DB00252,anticonvulsant,N/A,0
isoniazid,DB00951,theophylline,DB00277,0
isoniazid,DB00951,isoniazid,DB00951,0
theophylline,DB00277,theophylline,DB00277,0
theophylline,DB00277,isoniazid,DB00951,0
valproate,N/A,valproate,N/A,0
valproate,N/A,isoniazid,DB00951,0
valproate,N/A,isoniazid,DB00951,0
valproate,N/A,valproate,N/A,0
isoniazid,DB00951,valproate,N/A,0
myobloc,N/A,aminoglycosides,N/A,1
myobloc,N/A,curare-like compounds,N/A,1
myobloc,N/A,toxin,N/A,0
aminoglycosides,N/A,curare-like compounds,N/A,0
aminoglycosides,N/A,toxin,N/A,0
curare-like compounds,N/A,toxin,N/A,0
hormonal contraceptives,N/A,contraceptives,N/A,0
hormonal contraceptives,N/A,bosentan,DB00559,0
hormonal contraceptives,N/A,hormonal contraceptive,N/A,0
hormonal contraceptives,N/A,ortho-novum,N/A,0
hormonal contraceptives,N/A,norethindrone,N/A,0
hormonal contraceptives,N/A,ethinyl estradiol,N/A,0
contraceptives,N/A,bosentan,DB00559,0
contraceptives,N/A,hormonal contraceptive,N/A,0
contraceptives,N/A,ortho-novum,N/A,0
contraceptives,N/A,norethindrone,N/A,0
contraceptives,N/A,ethinyl estradiol,N/A,0
bosentan,DB00559,hormonal contraceptive,N/A,0
bosentan,DB00559,ortho-novum,N/A,1
bosentan,DB00559,norethindrone,N/A,0
bosentan,DB00559,ethinyl estradiol,N/A,0
hormonal contraceptive,N/A,ortho-novum,N/A,0
hormonal contraceptive,N/A,norethindrone,N/A,0
hormonal contraceptive,N/A,ethinyl estradiol,N/A,0
ortho-novum,N/A,norethindrone,N/A,0
ortho-novum,N/A,ethinyl estradiol,N/A,0
norethindrone,N/A,ethinyl estradiol,N/A,0
hormonal contraceptives,N/A,tracleer,N/A,1
cyclosporine a,N/A,bosentan,DB00559,0
bosentan,DB00559,cyclosporine a,N/A,1
tacrolimus,DB00864,tacrolimus,DB00864,0
tacrolimus,DB00864,bosentan,DB00559,0
tacrolimus,DB00864,bosentan,DB00559,1
bosentan,DB00559,bosentan,DB00559,0
glyburide,DB01016,glyburide,DB01016,0
tracleer,N/A,glyburide,DB01016,1
tracleer,N/A,hypoglycemic agents,N/A,0
glyburide,DB01016,hypoglycemic agents,N/A,0
bosentan,DB00559,glyburide,DB01016,1
bosentan,DB00559,hypoglycemic agents,N/A,1
ketoconazole,DB01026,bosentan,DB00559,0
ketoconazole,DB01026,ketoconazole,DB01026,0
bosentan,DB00559,ketoconazole,DB01026,1
ketoconazole,DB01026,bosentan,DB00559,0
simvastatin,DB00641,statins,N/A,0
simvastatin,DB00641,bosentan,DB00559,0
simvastatin,DB00641,simvastatin,DB00641,0
statins,N/A,bosentan,DB00559,0
statins,N/A,simvastatin,DB00641,0
bosentan,DB00559,simvastatin,DB00641,1
bosentan,DB00559,statins,N/A,1
bosentan,DB00559,lovastatin,DB00227,1
bosentan,DB00559,atorvastatin,DB01076,1
statins,N/A,lovastatin,DB00227,0
statins,N/A,atorvastatin,DB01076,0
lovastatin,DB00227,atorvastatin,DB01076,0
statins,N/A,tracleer,N/A,1
statins,N/A,statin,N/A,0
tracleer,N/A,statin,N/A,0
warfarin,DB00682,bosentan,DB00559,0
warfarin,DB00682,s-warfarin,N/A,0
warfarin,DB00682,r-warfarin,N/A,0
bosentan,DB00559,s-warfarin,N/A,1
bosentan,DB00559,r-warfarin,N/A,1
s-warfarin,N/A,r-warfarin,N/A,0
bosentan,DB00559,warfarin,DB00682,0
warfarin,DB00682,warfarin,DB00682,0
warfarin,DB00682,bosentan,DB00559,0
digoxin,DB00390,nimodipine,DB00393,0
digoxin,DB00390,losartan,DB00678,0
digoxin,DB00390,bosentan,DB00559,0
digoxin,DB00390,digoxin,DB00390,0
digoxin,DB00390,nimodipine,DB00393,0
digoxin,DB00390,losartan,DB00678,0
digoxin,DB00390,bosentan,DB00559,0
nimodipine,DB00393,losartan,DB00678,0
nimodipine,DB00393,bosentan,DB00559,0
nimodipine,DB00393,digoxin,DB00390,0
nimodipine,DB00393,nimodipine,DB00393,0
nimodipine,DB00393,losartan,DB00678,0
nimodipine,DB00393,bosentan,DB00559,0
losartan,DB00678,bosentan,DB00559,0
losartan,DB00678,digoxin,DB00390,0
losartan,DB00678,nimodipine,DB00393,0
losartan,DB00678,losartan,DB00678,0
losartan,DB00678,bosentan,DB00559,0
bosentan,DB00559,digoxin,DB00390,0
bosentan,DB00559,nimodipine,DB00393,0
bosentan,DB00559,losartan,DB00678,0
bosentan,DB00559,bosentan,DB00559,0
digoxin,DB00390,nimodipine,DB00393,0
digoxin,DB00390,losartan,DB00678,0
digoxin,DB00390,bosentan,DB00559,0
nimodipine,DB00393,losartan,DB00678,0
nimodipine,DB00393,bosentan,DB00559,0
losartan,DB00678,bosentan,DB00559,0
wellbutrin,N/A,wellbutrin,N/A,0
bupropion,DB01156,hydroxybupropion,N/A,0
wellbutrin,N/A,orphenadrine,DB01173,1
wellbutrin,N/A,cyclophosphamide,DB00531,1
orphenadrine,DB01173,cyclophosphamide,DB00531,0
threohydrobupropion,N/A,bupropion,DB01156,0
cimetidine,DB00501,bupropion,DB01156,0
cimetidine,DB00501,hydroxybupropion,N/A,0
threohydrobupropion,N/A,erythrohydrobupropion,N/A,0
bupropion,DB01156,carbamazepine,DB00564,1
bupropion,DB01156,phenobarbital,DB01174,1
bupropion,DB01156,phenytoin,DB00252,1
carbamazepine,DB00564,phenobarbital,DB01174,0
carbamazepine,DB00564,phenytoin,DB00252,0
phenobarbital,DB01174,phenytoin,DB00252,0
antidepressants,N/A,tricyclics,N/A,0
antidepressants,N/A,beta-blockers,N/A,0
antidepressants,N/A,antiarrhythmics,N/A,0
antidepressants,N/A,antipsychotics,N/A,0
tricyclics,N/A,beta-blockers,N/A,0
tricyclics,N/A,antiarrhythmics,N/A,0
tricyclics,N/A,antipsychotics,N/A,0
beta-blockers,N/A,antiarrhythmics,N/A,0
beta-blockers,N/A,antipsychotics,N/A,0
antiarrhythmics,N/A,antipsychotics,N/A,0
bupropion,DB01156,bupropion,DB01156,0
bupropion,DB01156,desipramine,DB01151,0
desipramine,DB01151,desipramine,DB01151,0
bupropion,DB01156,antidepressants,N/A,1
bupropion,DB01156,nortriptyline,DB00540,0
bupropion,DB01156,imipramine,DB00458,1
bupropion,DB01156,paroxetine,DB00715,1
bupropion,DB01156,fluoxetine,DB00472,1
bupropion,DB01156,sertraline,DB01104,1
bupropion,DB01156,antipsychotics,N/A,1
bupropion,DB01156,haloperidol,DB00502,0
bupropion,DB01156,risperidone,DB00734,0
bupropion,DB01156,thioridazine,DB00679,1
bupropion,DB01156,beta-blockers,N/A,1
bupropion,DB01156,metoprolol,DB00264,1
bupropion,DB01156,type 1c antiarrhythmics,N/A,1
bupropion,DB01156,propafenone,DB01182,1
bupropion,DB01156,flecainide,DB01195,1
antidepressants,N/A,nortriptyline,DB00540,0
antidepressants,N/A,imipramine,DB00458,0
antidepressants,N/A,desipramine,DB01151,0
antidepressants,N/A,paroxetine,DB00715,0
antidepressants,N/A,fluoxetine,DB00472,0
antidepressants,N/A,sertraline,DB01104,0
antidepressants,N/A,haloperidol,DB00502,0
antidepressants,N/A,risperidone,DB00734,0
antidepressants,N/A,thioridazine,DB00679,0
antidepressants,N/A,metoprolol,DB00264,0
antidepressants,N/A,type 1c antiarrhythmics,N/A,0
antidepressants,N/A,propafenone,DB01182,0
antidepressants,N/A,flecainide,DB01195,0
nortriptyline,DB00540,imipramine,DB00458,0
nortriptyline,DB00540,desipramine,DB01151,0
nortriptyline,DB00540,paroxetine,DB00715,0
nortriptyline,DB00540,fluoxetine,DB00472,0
nortriptyline,DB00540,sertraline,DB01104,0
nortriptyline,DB00540,antipsychotics,N/A,0
nortriptyline,DB00540,haloperidol,DB00502,0
nortriptyline,DB00540,risperidone,DB00734,0
nortriptyline,DB00540,thioridazine,DB00679,0
nortriptyline,DB00540,beta-blockers,N/A,0
nortriptyline,DB00540,metoprolol,DB00264,0
nortriptyline,DB00540,type 1c antiarrhythmics,N/A,0
nortriptyline,DB00540,propafenone,DB01182,0
nortriptyline,DB00540,flecainide,DB01195,0
imipramine,DB00458,desipramine,DB01151,0
imipramine,DB00458,paroxetine,DB00715,0
imipramine,DB00458,fluoxetine,DB00472,1
imipramine,DB00458,sertraline,DB01104,0
imipramine,DB00458,antipsychotics,N/A,0
imipramine,DB00458,haloperidol,DB00502,0
imipramine,DB00458,risperidone,DB00734,0
imipramine,DB00458,thioridazine,DB00679,0
imipramine,DB00458,beta-blockers,N/A,0
imipramine,DB00458,metoprolol,DB00264,0
imipramine,DB00458,type 1c antiarrhythmics,N/A,0
imipramine,DB00458,propafenone,DB01182,0
imipramine,DB00458,flecainide,DB01195,0
desipramine,DB01151,paroxetine,DB00715,0
desipramine,DB01151,fluoxetine,DB00472,0
desipramine,DB01151,sertraline,DB01104,0
desipramine,DB01151,antipsychotics,N/A,0
desipramine,DB01151,haloperidol,DB00502,0
desipramine,DB01151,risperidone,DB00734,0
desipramine,DB01151,thioridazine,DB00679,0
desipramine,DB01151,beta-blockers,N/A,0
desipramine,DB01151,metoprolol,DB00264,0
desipramine,DB01151,type 1c antiarrhythmics,N/A,0
desipramine,DB01151,propafenone,DB01182,0
desipramine,DB01151,flecainide,DB01195,0
paroxetine,DB00715,fluoxetine,DB00472,0
paroxetine,DB00715,sertraline,DB01104,0
paroxetine,DB00715,antipsychotics,N/A,0
paroxetine,DB00715,haloperidol,DB00502,0
paroxetine,DB00715,risperidone,DB00734,0
paroxetine,DB00715,thioridazine,DB00679,0
paroxetine,DB00715,beta-blockers,N/A,0
paroxetine,DB00715,metoprolol,DB00264,0
paroxetine,DB00715,type 1c antiarrhythmics,N/A,0
paroxetine,DB00715,propafenone,DB01182,0
paroxetine,DB00715,flecainide,DB01195,0
fluoxetine,DB00472,sertraline,DB01104,0
fluoxetine,DB00472,antipsychotics,N/A,0
fluoxetine,DB00472,haloperidol,DB00502,0
fluoxetine,DB00472,risperidone,DB00734,0
fluoxetine,DB00472,thioridazine,DB00679,0
fluoxetine,DB00472,beta-blockers,N/A,0
fluoxetine,DB00472,metoprolol,DB00264,0
fluoxetine,DB00472,type 1c antiarrhythmics,N/A,0
fluoxetine,DB00472,propafenone,DB01182,0
fluoxetine,DB00472,flecainide,DB01195,0
sertraline,DB01104,antipsychotics,N/A,0
sertraline,DB01104,haloperidol,DB00502,0
sertraline,DB01104,risperidone,DB00734,0
sertraline,DB01104,thioridazine,DB00679,0
sertraline,DB01104,beta-blockers,N/A,0
sertraline,DB01104,metoprolol,DB00264,0
sertraline,DB01104,type 1c antiarrhythmics,N/A,0
sertraline,DB01104,propafenone,DB01182,0
sertraline,DB01104,flecainide,DB01195,0
antipsychotics,N/A,haloperidol,DB00502,0
antipsychotics,N/A,risperidone,DB00734,0
antipsychotics,N/A,thioridazine,DB00679,0
antipsychotics,N/A,beta-blockers,N/A,0
antipsychotics,N/A,metoprolol,DB00264,0
antipsychotics,N/A,type 1c antiarrhythmics,N/A,0
antipsychotics,N/A,propafenone,DB01182,0
antipsychotics,N/A,flecainide,DB01195,0
haloperidol,DB00502,risperidone,DB00734,0
haloperidol,DB00502,thioridazine,DB00679,0
haloperidol,DB00502,beta-blockers,N/A,0
haloperidol,DB00502,metoprolol,DB00264,0
haloperidol,DB00502,type 1c antiarrhythmics,N/A,0
haloperidol,DB00502,propafenone,DB01182,0
haloperidol,DB00502,flecainide,DB01195,0
risperidone,DB00734,thioridazine,DB00679,0
risperidone,DB00734,beta-blockers,N/A,0
risperidone,DB00734,metoprolol,DB00264,0
risperidone,DB00734,type 1c antiarrhythmics,N/A,0
risperidone,DB00734,propafenone,DB01182,0
risperidone,DB00734,flecainide,DB01195,0
thioridazine,DB00679,beta-blockers,N/A,0
thioridazine,DB00679,metoprolol,DB00264,0
thioridazine,DB00679,type 1c antiarrhythmics,N/A,0
thioridazine,DB00679,propafenone,DB01182,0
thioridazine,DB00679,flecainide,DB01195,0
beta-blockers,N/A,metoprolol,DB00264,0
beta-blockers,N/A,type 1c antiarrhythmics,N/A,0
beta-blockers,N/A,propafenone,DB01182,0
beta-blockers,N/A,flecainide,DB01195,0
metoprolol,DB00264,type 1c antiarrhythmics,N/A,0
metoprolol,DB00264,propafenone,DB01182,0
metoprolol,DB00264,flecainide,DB01195,0
type 1c antiarrhythmics,N/A,propafenone,DB01182,0
type 1c antiarrhythmics,N/A,flecainide,DB01195,0
propafenone,DB01182,flecainide,DB01195,0
mao inhibitors,N/A,bupropion,DB01156,0
mao inhibitors,N/A,mao inhibitor,N/A,0
mao inhibitors,N/A,phenelzine,DB00780,0
bupropion,DB01156,mao inhibitor,N/A,0
bupropion,DB01156,phenelzine,DB00780,1
mao inhibitor,N/A,phenelzine,DB00780,0
levodopa,DB01235,amantadine,DB00915,0
levodopa,DB01235,bupropion,DB01156,0
levodopa,DB01235,levodopa,DB01235,0
levodopa,DB01235,amantadine,DB00915,0
amantadine,DB00915,bupropion,DB01156,0
amantadine,DB00915,levodopa,DB01235,0
amantadine,DB00915,amantadine,DB00915,0
bupropion,DB01156,levodopa,DB01235,1
bupropion,DB01156,amantadine,DB00915,1
levodopa,DB01235,amantadine,DB00915,0
wellbutrin,N/A,levodopa,DB01235,1
wellbutrin,N/A,amantadine,DB00915,1
wellbutrin,N/A,antipsychotics,N/A,1
wellbutrin,N/A,antidepressants,N/A,1
wellbutrin,N/A,theophylline,DB00277,1
wellbutrin,N/A,steroids,N/A,1
antipsychotics,N/A,antidepressants,N/A,0
antipsychotics,N/A,theophylline,DB00277,0
antipsychotics,N/A,steroids,N/A,0
antidepressants,N/A,theophylline,DB00277,0
antidepressants,N/A,steroids,N/A,0
theophylline,DB00277,steroids,N/A,0
alcohol,N/A,alcohol,N/A,0
alcohol,N/A,wellbutrin,N/A,0
alcohol,N/A,alcohol,N/A,0
alcohol,N/A,wellbutrin,N/A,1
mtx,N/A,nsaids,N/A,0
mtx,N/A,corticosteroids,N/A,0
mtx,N/A,tnf blocking agents,N/A,0
mtx,N/A,abatacept,DB01281,0
nsaids,N/A,corticosteroids,N/A,0
nsaids,N/A,tnf blocking agents,N/A,0
nsaids,N/A,abatacept,DB01281,0
corticosteroids,N/A,tnf blocking agents,N/A,0
corticosteroids,N/A,abatacept,DB01281,0
tnf blocking agents,N/A,abatacept,DB01281,0
orencia,N/A,mtx,N/A,0
orencia,N/A,nsaids,N/A,0
orencia,N/A,corticosteroids,N/A,0
orencia,N/A,tnf blocking agents,N/A,0
orencia,N/A,azathioprine,DB00993,0
orencia,N/A,chloroquine,DB00608,0
orencia,N/A,gold,DB14154,0
orencia,N/A,hydroxychloroquine,DB01611,0
orencia,N/A,leflunomide,DB01097,0
orencia,N/A,sulfasalazine,DB00795,0
orencia,N/A,anakinra,DB00026,1
mtx,N/A,azathioprine,DB00993,0
mtx,N/A,chloroquine,DB00608,0
mtx,N/A,gold,DB14154,0
mtx,N/A,hydroxychloroquine,DB01611,0
mtx,N/A,leflunomide,DB01097,0
mtx,N/A,sulfasalazine,DB00795,0
mtx,N/A,anakinra,DB00026,0
nsaids,N/A,azathioprine,DB00993,0
nsaids,N/A,chloroquine,DB00608,0
nsaids,N/A,gold,DB14154,0
nsaids,N/A,hydroxychloroquine,DB01611,0
nsaids,N/A,leflunomide,DB01097,0
nsaids,N/A,sulfasalazine,DB00795,0
nsaids,N/A,anakinra,DB00026,0
corticosteroids,N/A,azathioprine,DB00993,0
corticosteroids,N/A,chloroquine,DB00608,0
corticosteroids,N/A,gold,DB14154,0
corticosteroids,N/A,hydroxychloroquine,DB01611,0
corticosteroids,N/A,leflunomide,DB01097,0
corticosteroids,N/A,sulfasalazine,DB00795,0
corticosteroids,N/A,anakinra,DB00026,0
tnf blocking agents,N/A,azathioprine,DB00993,0
tnf blocking agents,N/A,chloroquine,DB00608,0
tnf blocking agents,N/A,gold,DB14154,0
tnf blocking agents,N/A,hydroxychloroquine,DB01611,0
tnf blocking agents,N/A,leflunomide,DB01097,0
tnf blocking agents,N/A,sulfasalazine,DB00795,0
tnf blocking agents,N/A,anakinra,DB00026,0
azathioprine,DB00993,chloroquine,DB00608,0
azathioprine,DB00993,gold,DB14154,0
azathioprine,DB00993,hydroxychloroquine,DB01611,0
azathioprine,DB00993,leflunomide,DB01097,0
azathioprine,DB00993,sulfasalazine,DB00795,0
azathioprine,DB00993,anakinra,DB00026,0
chloroquine,DB00608,gold,DB14154,0
chloroquine,DB00608,hydroxychloroquine,DB01611,0
chloroquine,DB00608,leflunomide,DB01097,0
chloroquine,DB00608,sulfasalazine,DB00795,0
chloroquine,DB00608,anakinra,DB00026,0
gold,DB14154,hydroxychloroquine,DB01611,0
gold,DB14154,leflunomide,DB01097,0
gold,DB14154,sulfasalazine,DB00795,0
gold,DB14154,anakinra,DB00026,0
hydroxychloroquine,DB01611,leflunomide,DB01097,0
hydroxychloroquine,DB01611,sulfasalazine,DB00795,0
hydroxychloroquine,DB01611,anakinra,DB00026,0
leflunomide,DB01097,sulfasalazine,DB00795,0
leflunomide,DB01097,anakinra,DB00026,0
sulfasalazine,DB00795,anakinra,DB00026,0
tnf antagonist,N/A,orencia,N/A,1
tnf antagonist,N/A,tnf antagonists,N/A,0
orencia,N/A,tnf antagonists,N/A,1
cholestyramine,DB01432,charcoal,N/A,0
cholestyramine,DB01432,cholestyramine,DB01432,0
cholestyramine,DB01432,activated charcoal,DB09278,0
cholestyramine,DB01432,leflunomide,DB01097,0
charcoal,N/A,cholestyramine,DB01432,0
charcoal,N/A,activated charcoal,DB09278,0
charcoal,N/A,leflunomide,DB01097,0
cholestyramine,DB01432,activated charcoal,DB09278,0
cholestyramine,DB01432,leflunomide,DB01097,1
activated charcoal,DB09278,leflunomide,DB01097,1
arava,N/A,methotrexate,DB00563,1
nsaids,N/A,diclofenac,DB00586,0
nsaids,N/A,ibuprofen,DB01050,0
diclofenac,DB00586,ibuprofen,DB01050,0
tolbutamide,DB01124,tolbutamide,DB01124,0
rifampin,N/A,arava,N/A,0
rifampin,N/A,rifampin,N/A,0
arava,N/A,rifampin,N/A,1
arava,N/A,arava,N/A,0
rifampin,N/A,arava,N/A,0
warfarin,DB00682,arava,N/A,0
warfarin,DB00682,warfarin,DB00682,0
arava,N/A,warfarin,DB00682,1
dobutamine,DB00841,b-blocking drug,N/A,1
dobutamine,DB00841,nitroprusside,DB00325,1
dobutamine,DB00841,digitalis preparations,N/A,0
dobutamine,DB00841,furosemide,DB00695,0
dobutamine,DB00841,spironolactone,DB00421,0
dobutamine,DB00841,lidocaine,DB00281,0
dobutamine,DB00841,glyceryl trinitrate,N/A,0
dobutamine,DB00841,isosorbide dinitrate,DB00883,0
dobutamine,DB00841,morphine,DB00295,0
dobutamine,DB00841,atropine,DB00572,0
dobutamine,DB00841,heparin,DB01109,0
dobutamine,DB00841,protamine,DB13700,0
dobutamine,DB00841,potassium chloride,DB00761,0
dobutamine,DB00841,folic acid,DB00158,0
dobutamine,DB00841,acetaminophen,DB00316,0
digitalis preparations,N/A,furosemide,DB00695,0
digitalis preparations,N/A,spironolactone,DB00421,0
digitalis preparations,N/A,lidocaine,DB00281,0
digitalis preparations,N/A,glyceryl trinitrate,N/A,0
digitalis preparations,N/A,isosorbide dinitrate,DB00883,0
digitalis preparations,N/A,morphine,DB00295,0
digitalis preparations,N/A,atropine,DB00572,0
digitalis preparations,N/A,heparin,DB01109,0
digitalis preparations,N/A,protamine,DB13700,0
digitalis preparations,N/A,potassium chloride,DB00761,0
digitalis preparations,N/A,folic acid,DB00158,0
digitalis preparations,N/A,acetaminophen,DB00316,0
furosemide,DB00695,spironolactone,DB00421,0
furosemide,DB00695,lidocaine,DB00281,0
furosemide,DB00695,glyceryl trinitrate,N/A,0
furosemide,DB00695,isosorbide dinitrate,DB00883,0
furosemide,DB00695,morphine,DB00295,0
furosemide,DB00695,atropine,DB00572,0
furosemide,DB00695,heparin,DB01109,0
furosemide,DB00695,protamine,DB13700,0
furosemide,DB00695,potassium chloride,DB00761,0
furosemide,DB00695,folic acid,DB00158,0
furosemide,DB00695,acetaminophen,DB00316,0
spironolactone,DB00421,lidocaine,DB00281,0
spironolactone,DB00421,glyceryl trinitrate,N/A,0
spironolactone,DB00421,isosorbide dinitrate,DB00883,0
spironolactone,DB00421,morphine,DB00295,0
spironolactone,DB00421,atropine,DB00572,0
spironolactone,DB00421,heparin,DB01109,0
spironolactone,DB00421,protamine,DB13700,0
spironolactone,DB00421,potassium chloride,DB00761,0
spironolactone,DB00421,folic acid,DB00158,0
spironolactone,DB00421,acetaminophen,DB00316,0
lidocaine,DB00281,glyceryl trinitrate,N/A,0
lidocaine,DB00281,isosorbide dinitrate,DB00883,0
lidocaine,DB00281,morphine,DB00295,0
lidocaine,DB00281,atropine,DB00572,0
lidocaine,DB00281,heparin,DB01109,0
lidocaine,DB00281,protamine,DB13700,0
lidocaine,DB00281,potassium chloride,DB00761,0
lidocaine,DB00281,folic acid,DB00158,0
lidocaine,DB00281,acetaminophen,DB00316,0
glyceryl trinitrate,N/A,isosorbide dinitrate,DB00883,0
glyceryl trinitrate,N/A,morphine,DB00295,0
glyceryl trinitrate,N/A,atropine,DB00572,0
