Drug1,Drug2,Interaction
Tacrolimus,bosentan,0
tacrolimus,bosentan,1
bosentan,bosentan,0
Glyburide,glyburide,0
TRACLEER,glyburide,1
TRACLEER,hypoglycemic agents,0
glyburide,hypoglycemic agents,0
bosentan,glyburide,1
Bosentan,hypoglycemic agents,1
Ketoconazole,bosentan,0
Ketoconazole,ketoconazole,0
bosentan,ketoconazole,1
ketoconazole,bosentan,0
Simvastatin,Statins,0
Simvastatin,bosentan,0
Simvastatin,simvastatin,0
Statins,bosentan,0
Statins,simvastatin,0
bosentan,simvastatin,1
Bosentan,statins,1
Bosentan,lovastatin,1
Bosentan,atorvastatin,1
statins,lovastatin,0
statins,atorvastatin,0
lovastatin,atorvastatin,0
statins,TRACLEER,1
statins,statin,0
TRACLEER,statin,0
Warfarin,bosentan,0
Warfarin,S-warfarin,0
Warfarin,R-warfarin,0
bosentan,S-warfarin,1
bosentan,R-warfarin,1
S-warfarin,R-warfarin,0
bosentan,warfarin,0
warfarin,warfarin,0
warfarin,bosentan,0
Digoxin,Nimodipine,0
Digoxin,Losartan,0
Digoxin,Bosentan,0
Digoxin,digoxin,0
Digoxin,nimodipine,0
Digoxin,losartan,0
Digoxin,bosentan,0
Nimodipine,Losartan,0
Nimodipine,Bosentan,0
Nimodipine,digoxin,0
Nimodipine,nimodipine,0
Nimodipine,losartan,0
Nimodipine,bosentan,0
Losartan,Bosentan,0
Losartan,digoxin,0
Losartan,nimodipine,0
Losartan,losartan,0
Losartan,bosentan,0
Bosentan,digoxin,0
Bosentan,nimodipine,0
Bosentan,losartan,0
Bosentan,bosentan,0
digoxin,nimodipine,0
digoxin,losartan,0
digoxin,bosentan,0
nimodipine,losartan,0
nimodipine,bosentan,0
losartan,bosentan,0
WELLBUTRIN,WELLBUTRIN,0
bupropion,hydroxybupropion,0
WELLBUTRIN,orphenadrine,1
WELLBUTRIN,cyclophosphamide,1
orphenadrine,cyclophosphamide,0
threohydrobupropion,bupropion,0
cimetidine,bupropion,0
cimetidine,hydroxybupropion,0
threohydrobupropion,erythrohydrobupropion,0
bupropion,carbamazepine,1
bupropion,phenobarbital,1
bupropion,phenytoin,1
carbamazepine,phenobarbital,0
carbamazepine,phenytoin,0
phenobarbital,phenytoin,0
antidepressants,tricyclics,0
antidepressants,beta-blockers,0
antidepressants,antiarrhythmics,0
antidepressants,antipsychotics,0
tricyclics,beta-blockers,0
tricyclics,antiarrhythmics,0
tricyclics,antipsychotics,0
beta-blockers,antiarrhythmics,0
beta-blockers,antipsychotics,0
antiarrhythmics,antipsychotics,0
bupropion,bupropion,0
bupropion,desipramine,0
desipramine,desipramine,0
bupropion,antidepressants,1
bupropion,nortriptyline,0
bupropion,imipramine,1
bupropion,paroxetine,1
bupropion,fluoxetine,1
bupropion,sertraline,1
bupropion,antipsychotics,1
bupropion,haloperidol,0
bupropion,risperidone,0
bupropion,thioridazine,1
bupropion,beta-blockers,1
bupropion,metoprolol,1
bupropion,Type 1C antiarrhythmics,1
bupropion,propafenone,1
bupropion,flecainide,1
antidepressants,nortriptyline,0
antidepressants,imipramine,0
antidepressants,desipramine,0
antidepressants,paroxetine,0
antidepressants,fluoxetine,0
antidepressants,sertraline,0
antidepressants,haloperidol,0
antidepressants,risperidone,0
antidepressants,thioridazine,0
antidepressants,metoprolol,0
antidepressants,Type 1C antiarrhythmics,0
antidepressants,propafenone,0
antidepressants,flecainide,0
nortriptyline,imipramine,0
nortriptyline,desipramine,0
nortriptyline,paroxetine,0
nortriptyline,fluoxetine,0
nortriptyline,sertraline,0
nortriptyline,antipsychotics,0
nortriptyline,haloperidol,0
nortriptyline,risperidone,0
nortriptyline,thioridazine,0
nortriptyline,beta-blockers,0
nortriptyline,metoprolol,0
nortriptyline,Type 1C antiarrhythmics,0
nortriptyline,propafenone,0
nortriptyline,flecainide,0
imipramine,desipramine,0
imipramine,paroxetine,0
imipramine,fluoxetine,1
imipramine,sertraline,0
imipramine,antipsychotics,0
imipramine,haloperidol,0
imipramine,risperidone,0
imipramine,thioridazine,0
imipramine,beta-blockers,0
imipramine,metoprolol,0
imipramine,Type 1C antiarrhythmics,0
imipramine,propafenone,0
imipramine,flecainide,0
desipramine,paroxetine,0
desipramine,fluoxetine,0
desipramine,sertraline,0
desipramine,antipsychotics,0
desipramine,haloperidol,0
desipramine,risperidone,0
desipramine,thioridazine,0
desipramine,beta-blockers,0
desipramine,metoprolol,0
desipramine,Type 1C antiarrhythmics,0
desipramine,propafenone,0
desipramine,flecainide,0
paroxetine,fluoxetine,0
paroxetine,sertraline,0
paroxetine,antipsychotics,0
paroxetine,haloperidol,0
paroxetine,risperidone,0
paroxetine,thioridazine,0
paroxetine,beta-blockers,0
paroxetine,metoprolol,0
paroxetine,Type 1C antiarrhythmics,0
paroxetine,propafenone,0
paroxetine,flecainide,0
fluoxetine,sertraline,0
fluoxetine,antipsychotics,0
fluoxetine,haloperidol,0
fluoxetine,risperidone,0
fluoxetine,thioridazine,0
fluoxetine,beta-blockers,0
fluoxetine,metoprolol,0
fluoxetine,Type 1C antiarrhythmics,0
fluoxetine,propafenone,0
fluoxetine,flecainide,0
sertraline,antipsychotics,0
sertraline,haloperidol,0
sertraline,risperidone,0
sertraline,thioridazine,0
sertraline,beta-blockers,0
sertraline,metoprolol,0
sertraline,Type 1C antiarrhythmics,0
sertraline,propafenone,0
sertraline,flecainide,0
antipsychotics,haloperidol,0
antipsychotics,risperidone,0
antipsychotics,thioridazine,0
antipsychotics,beta-blockers,0
antipsychotics,metoprolol,0
antipsychotics,Type 1C antiarrhythmics,0
antipsychotics,propafenone,0
antipsychotics,flecainide,0
haloperidol,risperidone,0
haloperidol,thioridazine,0
haloperidol,beta-blockers,0
haloperidol,metoprolol,0
haloperidol,Type 1C antiarrhythmics,0
haloperidol,propafenone,0
haloperidol,flecainide,0
risperidone,thioridazine,0
risperidone,beta-blockers,0
risperidone,metoprolol,0
risperidone,Type 1C antiarrhythmics,0
risperidone,propafenone,0
risperidone,flecainide,0
thioridazine,beta-blockers,0
thioridazine,metoprolol,0
thioridazine,Type 1C antiarrhythmics,0
thioridazine,propafenone,0
thioridazine,flecainide,0
beta-blockers,metoprolol,0
beta-blockers,Type 1C antiarrhythmics,0
beta-blockers,propafenone,0
beta-blockers,flecainide,0
metoprolol,Type 1C antiarrhythmics,0
metoprolol,propafenone,0
metoprolol,flecainide,0
Type 1C antiarrhythmics,propafenone,0
Type 1C antiarrhythmics,flecainide,0
propafenone,flecainide,0
MAO Inhibitors,bupropion,0
MAO Inhibitors,MAO inhibitor,0
MAO Inhibitors,phenelzine,0
bupropion,MAO inhibitor,0
bupropion,phenelzine,1
MAO inhibitor,phenelzine,0
Levodopa,Amantadine,0
Levodopa,bupropion,0
Levodopa,levodopa,0
Levodopa,amantadine,0
Amantadine,bupropion,0
Amantadine,levodopa,0
Amantadine,amantadine,0
bupropion,levodopa,1
bupropion,amantadine,1
levodopa,amantadine,0
WELLBUTRIN,levodopa,1
WELLBUTRIN,amantadine,1
WELLBUTRIN,antipsychotics,1
WELLBUTRIN,antidepressants,1
WELLBUTRIN,theophylline,1
WELLBUTRIN,steroids,1
antipsychotics,antidepressants,0
antipsychotics,theophylline,0
antipsychotics,steroids,0
antidepressants,theophylline,0
antidepressants,steroids,0
theophylline,steroids,0
Alcohol,alcohol,0
Alcohol,WELLBUTRIN,0
alcohol,alcohol,0
alcohol,WELLBUTRIN,1
MTX,NSAIDs,0
MTX,corticosteroids,0
MTX,TNF blocking agents,0
MTX,abatacept,0
NSAIDs,corticosteroids,0
NSAIDs,TNF blocking agents,0
NSAIDs,abatacept,0
corticosteroids,TNF blocking agents,0
corticosteroids,abatacept,0
TNF blocking agents,abatacept,0
ORENCIA,MTX,0
ORENCIA,NSAIDs,0
ORENCIA,corticosteroids,0
ORENCIA,TNF blocking agents,0
ORENCIA,azathioprine,0
ORENCIA,chloroquine,0
ORENCIA,gold,0
ORENCIA,hydroxychloroquine,0
ORENCIA,leflunomide,0
ORENCIA,sulfasalazine,0
ORENCIA,anakinra,1
MTX,azathioprine,0
MTX,chloroquine,0
MTX,gold,0
MTX,hydroxychloroquine,0
MTX,leflunomide,0
MTX,sulfasalazine,0
MTX,anakinra,0
NSAIDs,azathioprine,0
NSAIDs,chloroquine,0
NSAIDs,gold,0
NSAIDs,hydroxychloroquine,0
NSAIDs,leflunomide,0
NSAIDs,sulfasalazine,0
NSAIDs,anakinra,0
corticosteroids,azathioprine,0
corticosteroids,chloroquine,0
corticosteroids,gold,0
corticosteroids,hydroxychloroquine,0
corticosteroids,leflunomide,0
corticosteroids,sulfasalazine,0
corticosteroids,anakinra,0
TNF blocking agents,azathioprine,0
TNF blocking agents,chloroquine,0
TNF blocking agents,gold,0
TNF blocking agents,hydroxychloroquine,0
TNF blocking agents,leflunomide,0
TNF blocking agents,sulfasalazine,0
TNF blocking agents,anakinra,0
azathioprine,chloroquine,0
azathioprine,gold,0
azathioprine,hydroxychloroquine,0
azathioprine,leflunomide,0
azathioprine,sulfasalazine,0
azathioprine,anakinra,0
chloroquine,gold,0
chloroquine,hydroxychloroquine,0
chloroquine,leflunomide,0
chloroquine,sulfasalazine,0
chloroquine,anakinra,0
gold,hydroxychloroquine,0
gold,leflunomide,0
gold,sulfasalazine,0
gold,anakinra,0
hydroxychloroquine,leflunomide,0
hydroxychloroquine,sulfasalazine,0
hydroxychloroquine,anakinra,0
leflunomide,sulfasalazine,0
leflunomide,anakinra,0
sulfasalazine,anakinra,0
TNF antagonist,ORENCIA,1
TNF antagonist,TNF antagonists,0
ORENCIA,TNF antagonists,1
Cholestyramine,Charcoal,0
Cholestyramine,cholestyramine,0
Cholestyramine,activated charcoal,0
Cholestyramine,leflunomide,0
Charcoal,cholestyramine,0
Charcoal,activated charcoal,0
Charcoal,leflunomide,0
cholestyramine,activated charcoal,0
cholestyramine,leflunomide,1
activated charcoal,leflunomide,1
ARAVA,methotrexate,1
NSAIDs,diclofenac,0
NSAIDs,ibuprofen,0
diclofenac,ibuprofen,0
Tolbutamide,tolbutamide,0
Rifampin,ARAVA,0
Rifampin,rifampin,0
ARAVA,rifampin,1
ARAVA,ARAVA,0
rifampin,ARAVA,0
Warfarin,ARAVA,0
Warfarin,warfarin,0
ARAVA,warfarin,1
dobutamine,b-blocking drug,1
dobutamine,nitroprusside,1
dobutamine,digitalis preparations,0
dobutamine,furosemide,0
dobutamine,spironolactone,0
dobutamine,lidocaine,0
dobutamine,glyceryl trinitrate,0
dobutamine,isosorbide dinitrate,0
dobutamine,morphine,0
dobutamine,atropine,0
dobutamine,heparin,0
dobutamine,protamine,0
dobutamine,potassium chloride,0
dobutamine,folic acid,0
dobutamine,acetaminophen,0
digitalis preparations,furosemide,0
digitalis preparations,spironolactone,0
digitalis preparations,lidocaine,0
digitalis preparations,glyceryl trinitrate,0
digitalis preparations,isosorbide dinitrate,0
digitalis preparations,morphine,0
digitalis preparations,atropine,0
digitalis preparations,heparin,0
digitalis preparations,protamine,0
digitalis preparations,potassium chloride,0
digitalis preparations,folic acid,0
digitalis preparations,acetaminophen,0
furosemide,spironolactone,0
furosemide,lidocaine,0
furosemide,glyceryl trinitrate,0
furosemide,isosorbide dinitrate,0
furosemide,morphine,0
furosemide,atropine,0
furosemide,heparin,0
furosemide,protamine,0
furosemide,potassium chloride,0
furosemide,folic acid,0
furosemide,acetaminophen,0
spironolactone,lidocaine,0
spironolactone,glyceryl trinitrate,0
spironolactone,isosorbide dinitrate,0
spironolactone,morphine,0
spironolactone,atropine,0
spironolactone,heparin,0
spironolactone,protamine,0
spironolactone,potassium chloride,0
spironolactone,folic acid,0
spironolactone,acetaminophen,0
lidocaine,glyceryl trinitrate,0
lidocaine,isosorbide dinitrate,0
lidocaine,morphine,0
lidocaine,atropine,0
lidocaine,heparin,0
lidocaine,protamine,0
lidocaine,potassium chloride,0
lidocaine,folic acid,0
lidocaine,acetaminophen,0
glyceryl trinitrate,isosorbide dinitrate,0
glyceryl trinitrate,morphine,0
glyceryl trinitrate,atropine,0
glyceryl trinitrate,heparin,0
glyceryl trinitrate,protamine,0
glyceryl trinitrate,potassium chloride,0
glyceryl trinitrate,folic acid,0
glyceryl trinitrate,acetaminophen,0
isosorbide dinitrate,morphine,0
isosorbide dinitrate,atropine,0
isosorbide dinitrate,heparin,0
isosorbide dinitrate,protamine,0
isosorbide dinitrate,potassium chloride,0
isosorbide dinitrate,folic acid,0
isosorbide dinitrate,acetaminophen,0
morphine,atropine,0
morphine,heparin,0
morphine,protamine,0
morphine,potassium chloride,0
morphine,folic acid,0
morphine,acetaminophen,0
atropine,heparin,0
atropine,protamine,0
atropine,potassium chloride,0
atropine,folic acid,0
atropine,acetaminophen,0
heparin,protamine,0
heparin,potassium chloride,0
heparin,folic acid,0
heparin,acetaminophen,0
protamine,potassium chloride,0
protamine,folic acid,0
protamine,acetaminophen,0
potassium chloride,folic acid,0
potassium chloride,acetaminophen,0
folic acid,acetaminophen,0
Heparin,anticoagulants,0
Heparin,Heparin sodium,0
anticoagulants,Heparin sodium,0
heparin sodium,dicumarol,1
heparin sodium,warfarin sodium,1
dicumarol,warfarin sodium,0
Platelet inhibitors,acetylsalicylic acid,0
Platelet inhibitors,dextran,0
Platelet inhibitors,phenylbutazone,0
Platelet inhibitors,ibuprofen,0
Platelet inhibitors,indomethacin,0
Platelet inhibitors,dipyridamole,0
Platelet inhibitors,hydroxychloroquine,0
Platelet inhibitors,heparin sodium,0
acetylsalicylic acid,dextran,0
acetylsalicylic acid,phenylbutazone,0
acetylsalicylic acid,ibuprofen,0
acetylsalicylic acid,indomethacin,0
acetylsalicylic acid,dipyridamole,0
acetylsalicylic acid,hydroxychloroquine,0
acetylsalicylic acid,heparin sodium,1
dextran,phenylbutazone,0
dextran,ibuprofen,0
dextran,indomethacin,0
dextran,dipyridamole,0
dextran,hydroxychloroquine,0
dextran,heparin sodium,1
phenylbutazone,ibuprofen,0
phenylbutazone,indomethacin,0
phenylbutazone,dipyridamole,0
phenylbutazone,hydroxychloroquine,0
phenylbutazone,heparin sodium,1
ibuprofen,indomethacin,0
ibuprofen,dipyridamole,0
ibuprofen,hydroxychloroquine,0
ibuprofen,heparin sodium,1
indomethacin,dipyridamole,0
indomethacin,hydroxychloroquine,0
indomethacin,heparin sodium,1
dipyridamole,hydroxychloroquine,0
dipyridamole,heparin sodium,1
hydroxychloroquine,heparin sodium,1
heparin,antithrombin III,1
Heparin,Digitalis,0
Heparin,tetracyclines,0
Heparin,nicotine,0
Heparin,antihistamines,0
Heparin,heparin sodium,0
Digitalis,tetracyclines,0
Digitalis,nicotine,0
Digitalis,antihistamines,0
Digitalis,heparin sodium,1
tetracyclines,nicotine,0
tetracyclines,antihistamines,0
tetracyclines,heparin sodium,1
nicotine,antihistamines,0
nicotine,heparin sodium,1
antihistamines,heparin sodium,1
Heparin Sodium,doxorubicin,0
Heparin Sodium,droperidol,0
Heparin Sodium,ciprofloxacin,0
Heparin Sodium,mitoxantrone,0
Heparin Sodium,heparin,0
doxorubicin,droperidol,0
doxorubicin,ciprofloxacin,0
doxorubicin,mitoxantrone,0
doxorubicin,heparin,0
droperidol,ciprofloxacin,0
droperidol,mitoxantrone,0
droperidol,heparin,0
ciprofloxacin,mitoxantrone,0
ciprofloxacin,heparin,0
mitoxantrone,heparin,0
tricyclic antidepressants,cimetidine,1
cimetidine,tricyclic antidepressants,0
antidepressants,fluoxetine hydrochloride,1
nortriptyline,fluoxetine hydrochloride,1
Fluoxetine,norfluoxetine,0
reserpine,tricyclic antidepressant,1
nortriptyline hydrochloride,anticholinergic drugs,1
nortriptyline hydrochloride,sympathomimetic drugs,1
anticholinergic drugs,sympathomimetic drugs,0
debrisoquin,dextromethorphan,0
debrisoquin,tricyclic antidepressants,0
dextromethorphan,tricyclic antidepressants,0
antidepressants,tricyclic antidepressants,0
antidepressants,selective serotonin reuptake inhibitors,0
tricyclic antidepressants,selective serotonin reuptake inhibitors,0
tricyclic antidepressants,tricyclic antidepressant,0
tricyclic antidepressants,antidepressants,0
tricyclic antidepressants,phenothiazines,0
tricyclic antidepressants,carbamazepine,1
tricyclic antidepressants,Type 1C antiarrhythmics,0
tricyclic antidepressants,propafenone,0
tricyclic antidepressants,flecainide,0
tricyclic antidepressants,encainide,1
tricyclic antidepressants,quinidine,0
antidepressants,phenothiazines,0
antidepressants,carbamazepine,0
antidepressants,encainide,0
antidepressants,quinidine,0
phenothiazines,carbamazepine,0
phenothiazines,Type 1C antiarrhythmics,0
phenothiazines,propafenone,0
phenothiazines,flecainide,0
phenothiazines,encainide,0
phenothiazines,quinidine,0
carbamazepine,Type 1C antiarrhythmics,0
carbamazepine,propafenone,0
carbamazepine,flecainide,0
carbamazepine,encainide,0
carbamazepine,quinidine,0
Type 1C antiarrhythmics,encainide,0
Type 1C antiarrhythmics,quinidine,0
propafenone,encainide,0
propafenone,quinidine,0
flecainide,encainide,0
flecainide,quinidine,0
encainide,quinidine,0
ALPHAGAN P,CNS depressants,1
ALPHAGAN P,alcohol,1
ALPHAGAN P,barbiturates,1
ALPHAGAN P,opiates,1
ALPHAGAN P,sedatives,1
ALPHAGAN P,anesthetics,1
CNS depressants,alcohol,0
CNS depressants,barbiturates,0
CNS depressants,opiates,0
CNS depressants,sedatives,0
CNS depressants,anesthetics,0
alcohol,barbiturates,0
alcohol,opiates,0
alcohol,sedatives,0
alcohol,anesthetics,0
barbiturates,opiates,0
barbiturates,sedatives,0
barbiturates,anesthetics,0
opiates,sedatives,0
opiates,anesthetics,0
sedatives,anesthetics,0
beta-blockers,anti-hypertensives,0
beta-blockers,cardiac glycosides,0
anti-hypertensives,cardiac glycosides,0
Tricyclic antidepressants,clonidine,1
Tricyclic antidepressants,ALPHAGAN P,0
clonidine,ALPHAGAN P,0
Anticoagulants,COUMARIN ANTICOAGULANTS,0
Anticoagulants,TRICOR,0
COUMARIN ANTICOAGULANTS,TRICOR,1
HMG-CoA reductase inhibitors,TRICOR,0
HMG-CoA reductase inhibitors,HMG-CoA reductase inhibitors,0
TRICOR,HMG-CoA reductase inhibitors,1
Resins,bile acid sequestrants,0
Resins,TRICOR,0
Resins,bile acid binding resin,0
bile acid sequestrants,TRICOR,0
bile acid sequestrants,bile acid binding resin,0
TRICOR,bile acid binding resin,1
Cyclosporine,cyclosporine,0
Cyclosporine,fibrate drugs,0
Cyclosporine,TRICOR,0
cyclosporine,fibrate drugs,1
cyclosporine,TRICOR,1
fibrate drugs,TRICOR,0
TRICOR,immunosuppressants,1
fenofibrate,fenofibric acid,0
fenofibrate,bile acid binding resin,1
fenofibrate,TRICOR,0
fenofibrate,pravastatin,0
TRICOR,pravastatin,0
pravastatin,pravastatin,0
pravastatin,fenofibric acid,0
fenofibrate,atorvastatin,0
TRICOR,atorvastatin,0
atorvastatin,atorvastatin,0
atorvastatin,fenofibrate,0
fenofibric acid,atorvastatin,0
ENABLEX,ketoconazole,1
ENABLEX,itraconazole,1
ENABLEX,ritonavir,1
ENABLEX,nelfinavir,1
ENABLEX,clarithromycin,1
ketoconazole,itraconazole,0
ketoconazole,ritonavir,0
ketoconazole,nelfinavir,0
ketoconazole,clarithromycin,0
itraconazole,ritonavir,0
itraconazole,nelfinavir,0
itraconazole,clarithromycin,0
ritonavir,nelfinavir,0
ritonavir,clarithromycin,0
nelfinavir,clarithromycin,0
ENABLEX,flecainide,1
ENABLEX,thioridazine,1
ENABLEX,tricyclic antidepressants,1
flecainide,thioridazine,0
flecainide,tricyclic antidepressants,0
thioridazine,tricyclic antidepressants,0
ENABLEX,anticholinergic agents,1
HEXALEN,antidepressants of the MAO inhibitor class,1
HEXALEN,Cimetidine,0
HEXALEN,altretamine,0
antidepressants of the MAO inhibitor class,Cimetidine,0
antidepressants of the MAO inhibitor class,altretamine,0
Cimetidine,altretamine,1
HEXALEN,cisplatin,0
HEXALEN,pyridoxine,0
cisplatin,pyridoxine,0
pyridoxine,pyridoxine,0
pyridoxine,HEXALEN,1
pyridoxine,cisplatin,1
ETHYOL,antihypertensive medications,1
AEDs,AED,0
Phenytoin,phenobarbital,0
Phenytoin,carbamazepine,0
phenobarbital,carbamazepine,0
valproate,gabapentin,0
GABITRIL,AED,0
GABITRIL,AEDs,0
GABITRIL,Phenytoin,0
GABITRIL,Tiagabine,0
GABITRIL,phenytoin,0
AEDs,Phenytoin,0
AEDs,Tiagabine,0
AEDs,phenytoin,0
Phenytoin,Tiagabine,0
Tiagabine,phenytoin,0
Carbamazepine,Tiagabine,0
Tiagabine,carbamazepine,0
Valproate,Tiagabine,0
Tiagabine,valproate,1
Phenobarbital,Primidone,0
Phenobarbital,tiagabine,0
Phenobarbital,phenobarbital,0
Phenobarbital,primidone,0
Primidone,tiagabine,0
Primidone,phenobarbital,0
Primidone,primidone,0
tiagabine,phenobarbital,1
tiagabine,primidone,1
phenobarbital,primidone,0
AEDs,GABITRIL,0
AEDs,Carbamazepine,0
AEDs,tiagabine,0
AEDs,carbamazepine,0
AEDs,AEDs,0
GABITRIL,Carbamazepine,0
GABITRIL,tiagabine,0
GABITRIL,carbamazepine,0
Carbamazepine,tiagabine,0
Carbamazepine,AEDs,0
tiagabine,carbamazepine,1
tiagabine,AEDs,0
carbamazepine,AEDs,0
Phenytoin,tiagabine,0
Phenytoin,AEDs,0
tiagabine,phenytoin,1
phenytoin,AEDs,0
Phenobarbital,AEDs,0
Primidone,AEDs,0
phenobarbital,AEDs,0
primidone,AEDs,0
Valproate,tiagabine,0
tiagabine,valproate,0
tiagabine,tiagabine,0
valproate,tiagabine,1
GABITRIL,Cimetidine,0
GABITRIL,cimetidine,0
Cimetidine,cimetidine,0
Cimetidine,tiagabine,0
cimetidine,tiagabine,0
Theophylline,tiagabine,0
Theophylline,theophylline,0
tiagabine,theophylline,0
Warfarin,tiagabine,0
R-warfarin,S-warfarin,0
R-warfarin,tiagabine,0
S-warfarin,tiagabine,0
Digoxin,tiagabine,0
tiagabine,digoxin,0
digoxin,digoxin,0
Ethanol,Triazolam,0
Ethanol,triazolam,0
Ethanol,tiagabine,0
Triazolam,triazolam,0
